Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier
Boosting-Based EMG Patterns Classification Scheme for Robustness Enhancement;"Z. Li; B. Wang; C. Yang; Q. Xie; C. -Y. Su";"Key Laboratory of Autonomous System and Network Control, College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; Department of Automation, Shanghai Jiaotong University, Shanghai, China; School of Computing and Mathematics, University of Plymouth, Plymouth, UK; Department of Rehabilitation Medicine, Ruijin Hospital, Shanghai Jiaotong University, Shanghai, China; Key Laboratory of Autonomous System and Network Control, College of Automation Science and Engineering, South China University of Technology, Guangzhou, China";IEEE Journal of Biomedical and Health Informatics;1 May 2013;2013;17;3;545;552;The high conventional accuracy of pattern recognition-based surface myoelectric classification in laboratory experiments does not necessarily result in high accessibility to practical protheses. An obvious reason is the effect of signals of untrained classes caused by the relatively small training dataset. In order to make the classifier robust to untrained classes, a classification scheme is developed based on boosting and random forest classifiers in this paper. Meanwhile, a threshold, the post probability of the prediction, is introduced as a balance (i.e., adjust) between the accurate classification and the rejection of the samples belonging to some untrained classes. The experiments are conducted to compare with other two schemes using linear discriminant analysis and support vector machines. Surface electromyogram signals, labeled with seven isometric movements, are collected from six healthy subjects' forearm. It is shown that the proposed scheme can reach up to about 92% accuracy in recognizing trained classes and 20% for untrained classes. Through adjusting the threshold, the accuracy of rejecting untrained classes reaches up to around 80%, with small decrease in recognizing trained classes (down to 80%). In the analysis of experiments' results, we also find that the proposed scheme has better error distribution among the classes.;2168-2208;;10.1109/JBHI.2013.2256920;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494245;"Boosting;electromyogram;pattern recognition;random forest";"Training;Support vector machines;Pattern classification;Boosting;Robustness;Pattern recognition;Linear discriminant analysis";"Adult;Databases, Factual;Decision Trees;Discriminant Analysis;Electromyography;Female;Forearm;Humans;Male;Pattern Recognition, Automated;Signal Processing, Computer-Assisted;Support Vector Machine;Young Adult";64;;33;IEEE;04. Apr 13;;;IEEE;IEEE Journals
Muscle Activation Visualization System Using Adaptive Assessment and Forces-EMG Mapping;"X. Wei; Y. Chen; X. Jia; Y. Chen; L. Xie";"Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China; Shien-Ming Wu School of Intelligent Engineering, South China University of Technology, Guangzhou, China";IEEE Access;29 Mar 2021;2021;9;;46374;46385;VR-based serious games are obtained without details about real-time guide and feedback in the rehabilitation after stroke, leading to undesirable recovery outcomes. This study investigated the feasibility of real-time visualization in muscle state feedback by sEMG. Then we explored the application in movement guide and diagnosis. We provided a force-sEMG mapping approach based on body weight to visualize the implicit bioinformation. And 10 healthy subjects participated in an experiment that the K-means cluster algorithm and the support vector regression are employed to filter the unexpected data and adjust the visualization parameter for each subject dynamically. The verification experiment demonstrates that force and sEMG can be mapped as a data pair by support vector regression and normalized by the low-cost calibration in 6-8 times reparative actions. We define the predictive accuracy as the ratio of the predicted to the practical tasks. And mean absolute value is the most suitable index to compete for most data scales which can provide a predictive accuracy of 89.84% ± 5.28% in biceps and 84.26% ± 6.44% in triceps. We present the motivation improvement for patients and supervision in online and offline application scenarios for therapists. This system can be applied in precision and telemedicine to improve the efficacy of rehabilitation by objective data and intuitive expression through visualization.;2169-3536;;10.1109/ACCESS.2021.3067360;"National Natural Science Foundation of China(grant numbers:52075177); Joint Fund of the Ministry of Education for Equipment Pre-Research(grant numbers:6141A02033124); Research Foundation of Guangdong Province(grant numbers:2019A050505001,2018KZDXM002); Guangzhou Research Foundation(grant numbers:202002030324,201903010028); Zhongshan Research Foundation(grant numbers:2020B2020); Shenzhen Institute of Artificial Intelligence and Robotics for Society(grant numbers:AC01202005011); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381904;"K-means cluster;rehabilitation;surface electromyography;stroke;SVR;visualization";"Muscles;Bioinformatics;Stroke (medical condition);Force;Elbow;Data visualization;Task analysis";;5;;40;CCBYNCND;19 Mar 2021;;;IEEE;IEEE Journals
Cluster restarted DM: New algorithm for global optimisation;M. Dlapa;Faculty of Applied Informatics, Tomas Bata University in Zlin, Zlin, Czech Rep;2017 Intelligent Systems Conference (IntelliSys);26 Mar 2018;2017;;;1130;1135;Global optimisation method Differential Migration (DM) with restarting is described in this paper and evaluated together with Restart Covariance Matrix Adaptation Evolution Strategy With Increasing Population Size (IPOP-CMA-ES). Differential Migration is another step in global optimisation from SOMA (Self-Organizing Migration Algorithm) combining two basic individual movement methods of SOMA - all-to-one and all-to-all, via cluster analysis and internal algorithm constant defining continuous change from one type of movement to another. The proposed algorithm implements essential ideas of Differential Evolution regardless of their original interpretation in living nature with subsequent increase of efficiency in finding global extreme which holds mainly for noisy multimodal cost functions present in the benchmarks as well as in real world applications.;;978-1-5090-6435-9;10.1109/IntelliSys.2017.8324271;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8324271;"Global optimisation;evolutionary algorithms;covariance matrix adaptation;self-organizing migration algorithm";"Cost function;Clustering algorithms;Benchmark testing;Sociology;Statistics;Evolutionary computation";;3;;22;IEEE;26 Mar 2018;;;IEEE;IEEE Conferences
SVM-Based Multimodal Classification of Activities of Daily Living in Health Smart Homes: Sensors, Algorithms, and First Experimental Results;"A. Fleury; M. Vacher; N. Noury";"AFIRM Team, Techniques de Ingénierie Médicale et de la Complexité-Informatique, Mathématique et Applications, Grenoble (TIMC-IMAG) laboratory, Unité Mixte de Recherche (UMR) 5525, Centre Nationalde la Recherche Scientifi, Université Joseph Fourier Grenoble, La Tronche, France; GETALP Team, Laboratoire d'Informatique de Grenoble (LIG), UMR 5217 CNRS, UJF, Grenoble, France; AFIRM Team, TIMC-IMAG laboratory, UMR 5525, CNRS, Faculté de Médecine de Grenoble, UJF, La Tronche, France";IEEE Transactions on Information Technology in Biomedicine;15 Mar 2010;2010;14;2;274;283;By 2050, about one third of the French population will be over 65. Our laboratory's current research focuses on the monitoring of elderly people at home, to detect a loss of autonomy as early as possible. Our aim is to quantify criteria such as the international activities of daily living (ADL) or the French Autonomie Gerontologie Groupes Iso-Ressources (AGGIR) scales, by automatically classifying the different ADL performed by the subject during the day. A Health Smart Home is used for this. Our Health Smart Home includes, in a real flat, infrared presence sensors (location), door contacts (to control the use of some facilities), temperature and hygrometry sensor in the bathroom, and microphones (sound classification and speech recognition). A wearable kinematic sensor also informs postural transitions (using pattern recognition) and walk periods (frequency analysis). This data collected from the various sensors are then used to classify each temporal frame into one of the ADL that was previously acquired (seven activities: hygiene, toilet use, eating, resting, sleeping, communication, and dressing/undressing). This is done using support vector machines. We performed a 1-h experimentation with 13 young and healthy subjects to determine the models of the different activities, and then we tested the classification algorithm (cross validation) with real data.;1558-0032;;10.1109/TITB.2009.2037317;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5352277;"Activity of daily living (ADL);classification;health smart home;machine learning;support vector machines (SVMs)";"Smart homes;Intelligent sensors;Multimodal sensors;Wearable sensors;Acoustic sensors;Infrared sensors;Temperature sensors;Laboratories;Monitoring;Senior citizens";"Activities of Daily Living;Adult;Algorithms;Bayes Theorem;Biomechanics;Female;Humans;Male;Monitoring, Physiologic;Monitoring, Physiologic;Neural Networks (Computer);Pattern Recognition, Automated;Reproducibility of Results";375;1;36;IEEE;11 Dec 2009;;;IEEE;IEEE Journals
Fonts That Fit the Music: A Multimodal Design Trend Analysis of Lyric Videos;"D. Haraguchi; S. Sakaguchi; J. Kato; M. Goto; S. Uchida";"Graduate School of Advanced Information Technology, Kyushu University, Fukuoka, Japan; Graduate School of Systems Life Sciences, Kyushu University, Fukuoka, Japan; National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Tsukuba, Japan; National Institute of Advanced Industrial Science and Technology (AIST), Ibaraki, Tsukuba, Japan; Department of Advanced Information Technology, Kyushu University, Fukuoka, Japan";IEEE Access;24. Jun 22;2022;10;;65414;65425;Lyric videos, or kinetic typography videos, are music videos showing lyric text in synchronization with the music. The purpose of this paper is to quantitatively and qualitatively analyze lyric videos to understand their design trends via three modalities: word motion, font style, and music style. These trends will not only be helpful as hints for designing new lyric videos but also be meaningful to quantitatively reveal the thought processes of the video design professionals. To achieve this, we needed to develop or utilize several technologies. First, we developed a lyric word tracking method to capture the motion of individual lyric words. The proposed method uses the lyric text as the guiding information for word tracking to overcome the difficulties arising from the various word appearances and motions. Second, we developed a font style estimator to quantify the appearance of each word as a feature vector. Finally, we employed a music style estimator to quantify the mood of the music, e.g., “techno” and “fast.” We then analyzed feature vectors of these three style modalities collected at 3,494 time points in 100 lyric videos. After revealing the trend of each modality via k-means, we conducted a co-occurrence analysis to understand the correlation between each modality pair. Our experimental results indicate that such a cluster-wise co-occurrence analysis can capture interesting trends hidden in lyric video designs.;2169-3536;;10.1109/ACCESS.2022.3184028;"Japan Society for the Promotion Science (JSPS) KAKENHI(grant numbers:JP17H06100); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798806;"Lyric video;lyric word tracking;text motion analysis;video design analysis";"Videos;Correlation;Market research;Tracking;Task analysis;Standards;Estimation";;1;;52;CCBY;17. Jun 22;;;IEEE;IEEE Journals
Episodes of Change: Emotion Change in Semantic Trajectories of Multimodal Sensor Data;"T. Johnson; E. Kanjo";"Department of Computer Science, Nottingham Trent University, Nottingham, UK; Department of Computer Science, Nottingham Trent University, Nottingham, UK";2023 IEEE International Conference on Pervasive Computing and Communications Workshops and other Affiliated Events (PerCom Workshops);21. Jun 23;2023;;;178;183;The ubiquity of location tracking on smartphones allows us to monitor, collect, and analyse large trajectory data in real-time. Time series classification and clustering is an efficient way to analyse trajectories. A remarkable amount of research on the relationship between urban environments, health or wellbeing has been conducted including our previous work. However, in this paper we will introduce semantic trajectories that use episodes as changes in emotion to enable scientists and healthcare professionals to assess the impact of surrounding environments and physiological responses directly to individuals' wellbeing. For the first time, the study explores how a trajectory can be enriched with several semantics, specifically made up of environmental (e.g. air pollution including: PM1, PM2.5, PM10, Oxidised, Reduced, NH3 and Noise, People Count in the vicinity) and physiological responses (including: EDA, HR, HRV, Body Temperature, BVP and movement), in addition to self-report wellbeing and location data collected in real-time. The proposed method divides the multi-modal sensor data semantic trajectory into individual episodes each time a change of emotion is detected. Statistical correlation analysis techniques have been applied to unravel the relationship between emotion episodes and semantics, highlighting that Electrodermal Activity (EDA), Heart Rate (HR) and self-labelled emotion are noticeably impacted by the level of air pollution in the environment. We adopted Dynamic Time Warping Algorithm (DTW) to classify the self-reported emotion as episodes which achieved an overall F1-Score of 0.88 using a KNN classifier.;2766-8576;978-1-6654-5381-3;10.1109/PerComWorkshops56833.2023.10150220;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150220;"Trajectory;Episodes;Sensors;Semantics;Environment;Emotion";"Temperature sensors;Multimodal sensors;Heuristic algorithms;Conferences;Semantics;Urban areas;Air pollution";;3;;33;IEEE;21. Jun 23;;;IEEE;IEEE Conferences
MIMiC: Multimodal Interactive Motion Controller;"D. Okwechime; E. -J. Ong; R. Bowden";"Department of CVSSP, University of Surrey, Guildford, Surrey, UK; Department of CVSSP, University of Surrey, Guildford, Surrey, UK; Department of CVSSP, University of Surrey, Guildford, Surrey, UK";IEEE Transactions on Multimedia;17 Mar 2011;2011;13;2;255;265;We introduce a new algorithm for real-time interactive motion control and demonstrate its application to motion captured data, prerecorded videos, and HCI. Firstly, a data set of frames are projected into a lower dimensional space. An appearance model is learnt using a multivariate probability distribution. A novel approach to determining transition points is presented based on k-medoids, whereby appropriate points of intersection in the motion trajectory are derived as cluster centers. These points are used to segment the data into smaller subsequences. A transition matrix combined with a kernel density estimation is used to determine suitable transitions between the subsequences to develop novel motion. To facilitate real-time interactive control, conditional probabilities are used to derive motion given user commands. The user commands can come from any modality including auditory, touch, and gesture. The system is also extended to HCI using audio signals of speech in a conversation to trigger nonverbal responses from a synthetic listener in real-time. We demonstrate the flexibility of the model by presenting results ranging from data sets composed of vectorized images, 2-D, and 3-D point representations. Results show real-time interaction and plausible motion generation between different types of movement.;1941-0077;;10.1109/TMM.2010.2096410;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5654653;"Animation;human-computer interaction;motion;probability density function;synthesis";"Data models;Real time systems;Markov processes;Videos;Kernel;MIMICs;Estimation";;2;;32;IEEE;3 Dec 2010;;;IEEE;IEEE Journals
Optimal selection of time series coefficients for wrist myoelectric control based on intramuscular recordings;"M. C. Santa-Cruz; R. Riso; F. Sepulveda";"Center for Sensory Motor Interaction, University of Aalborg, Denmark; Center for Sensory Motor Interaction, University of Aalborg, Denmark; Center for Sensory Motor Interaction, University of Aalborg, Denmark";2001 Conference Proceedings of the 23rd Annual International Conference of the IEEE Engineering in Medicine and Biology Society;07. Nov 02;2001;2;;1384;1387 vol.2;The Davies-Bouldin cluster validation technique has been utilized to determine the optimal time series parameters (model, order and number of coefficients) to be used in a myoelectric pattern recognition system based on intramuscular recordings. The data used in our longitudinal study were recorded intramuscularly (4 muscle channels) from an amputee subject over three different experimental days. During the recording sessions, the subject performed 4 wrist movements (pronation, supination, wrist flexion, wrist extension) in a way that was intuitive to her. The time series coefficients obtained from the EMG data (from AR, MA, and ARMA modeling) were used for generating feature spaces with 4 classes (1 per movement). The results showed that the optimal parameters didn't differ substantially (AR, order 4, 2 coefficients) for those obtained for other type of movements and surface EMG recordings. The use of the Davies-Bouldin technique during the analysis produced important information about the separability and consistency of the data across different days.;1094-687X;0-7803-7211-5;10.1109/IEMBS.2001.1020458;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1020458;;"Wrist;Optimal control;Electromyography;Muscles;Pattern recognition;Electrodes;Frequency;Animation;Information analysis;Feature extraction";;7;1;8;IEEE;07. Nov 02;;;IEEE;IEEE Conferences
A novel wrist rehabilitation/assistive device;"Z. O. Khokhar; Z. G. Xiao; C. Sheridan; C. Menon";"MENRVA Group, School of Engineering Science, Faculty of Applied Science, Simon Fraser University, Burnaby, BC, Canada; MENRVA Group, School of Engineering Science, Faculty of Applied Science, Simon Fraser University, Burnaby, BC, Canada; MENRVA Group, School of Engineering Science, Faculty of Applied Science, Simon Fraser University, Burnaby, BC, Canada; MENRVA Group, School of Engineering Science, Faculty of Applied Science, Simon Fraser University, Burnaby, BC, Canada";2009 IEEE 13th International Multitopic Conference;15. Jan 10;2009;;;1;6;This work presents a novel wearable exoskeleton capable of moving the human wrist for rehabilitation or assistive purposes. The purpose of the device is to grant autonomy to individuals suffering from medical conditions such as frailty, spinal cord injury (SCI), stroke or other motor diseases. The device can be operated in two modes. The rehabilitation mode of the device moves the hand in a predefined manner and records the electromyography (EMG) signals for analysis. The assistive mode uses EMG signals to identify the intention of the user and the helps in the movement of the hand by supplying the assistive force. Principal Component Analysis (PCA) along with artificial neural networks is employed for EMG pattern recognition. Different aspects to this are currently under study and the initial design and test results for the device are discussed.;;978-1-4244-4872-2;10.1109/INMIC.2009.5383152;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5383152;"electromyography (EMG);assistive device;rehabilitation;principal component analysis (PCA)";"Wrist;Electromyography;Principal component analysis;Exoskeletons;Humans;Medical conditions;Spinal cord injury;Diseases;Signal analysis;Signal processing";;3;;12;IEEE;15. Jan 10;;;IEEE;IEEE Conferences
Prediction of received signal strength from human joint angles in body area networks;"T. M. Tran; G. Vejarano";"Loyola Marymount University, Los Angeles, CA, USA; Loyola Marymount University, Los Angeles, CA, USA";2016 International Conference on Computing, Networking and Communications (ICNC);24 Mar 2016;2016;;;1;6;Focusing on movements of a human participant performing physical-therapy exercises, this paper presents an algorithm that predicts the received signal strength indicator (RSSI) of wireless sensor nodes attached to the user. The body area network (BAN) formed by the nodes is a motion capture system that measures joint angles of the user at the shoulder and elbow. In order to predict the RSSI, we first show that the wireless signal experiences severe attenuation from human-body shadowing even though distances between transmitters and receiver are less than 3 meters. Second, we show that the RSSI fluctuates periodically with regular body movements (i.e., physical-therapy exercises). We then model the movements using k-means clustering and Markov chains and determine the probability distribution of the RSSI at each state in the movement. Finally, the RSSI is predicted with a maximum a posteriori probability (MAP) detector. Experimental results show that the RSSI can be predicted with a root mean square error (RMSE) of 3.7 dB, which is an error within 4.2% of the average RSSI level, and when a prediction is made, it is valid for the next 1083 milliseconds (ms) on average.;;978-1-4673-8579-4;10.1109/ICCNC.2016.7440700;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7440700;;"Prediction algorithms;Wireless sensor networks;Wireless communication;Clustering algorithms;Receivers;Elbow;Servers";;3;;19;IEEE;24 Mar 2016;;;IEEE;IEEE Conferences
Dense optical Flow Computation for 2D and 3D images via multigrid on a parallel machine;E. M. Kalmoun;Ecole Nationale des Sciences Appliquees (ENSA), Cadi Ayyad University, Marrakech, Morocco;2007 International Symposium on Computational Intelligence and Intelligent Informatics;04. Jun 07;2007;;;21;21;Summary form only given. Optical flow computation is known to be a fundamental step in many applications in image processing, pattern recognition, data compression, and biomedical technology. The goal is to compute an approximation to the projection of the 3D motion field onto the imaging surface. I consider in this talk the problem of real-time computation of dense optical flow for 2D and 3D images by the classical Horn-Schunck model. The basic assumption of this model is that the intensity variations are weak and only due to a movement in the image plan. This constant brightness assumption leads to an ill-posed problem that can only be solved by imposing an additional constraint requiring the flow field to be smooth by means of a standard regularization approach. The Horn-Schuck model is traditionally solved via a coupled point wise relaxation. The performance is generally poor when the image sequence data are strongly textured. I will review and discuss the multigrid components for a fast and robust computation. The parallel implementation of the proposed scheme using domain partitioning shows that the algorithm scales well up to 32 processors on a cluster of AMD Opteron CPUs which consists of four-way nodes connected by an Infiniband network. I will conclude by presenting some experimental results showing the good performance of the proposed algorithm on some classical 2D test images and also for computing 3D motion from cardiac C-arm CT images.;;1-4244-1157-2;10.1109/ISCIII.2007.367355;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218388;;"Optical computing;Image motion analysis;Concurrent computing;Parallel machines;Biomedical optical imaging;Biomedical computing;Clustering algorithms;Partitioning algorithms;Data flow computing;Image processing";;;;;IEEE;04. Jun 07;;;IEEE;IEEE Conferences
A System For Automatic Recognition of Hand Gestures Based on Temporal Features and Feed Forward Neural Network By Using Electromyographic Data;N. Raj;Centre for Interdisciplinary Research in Business and Technology, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India;2023 1st International Conference on Innovations in High Speed Communication and Signal Processing (IHCSP);25 May 2023;2023;;;236;239;Typically a function of time, biomedical signals are defined as a set of electrical readings taken from any given organ. The term “electrical biomedical signals” is used to describe the variation in electric current that results from adding up the electrical potential difference throughout a certain tissue or organ. These electrical signals have a very small amplitude and a very slow frequency. Based on shared properties, the biological signals were clustered into distinct categories. Electromyography (EMG) signals are employed for hand gesture recognition among biological signals. That's the retrieved electrical potential from the muscle fibres being recorded. Electromyographic (EMG) signals are recorded using surface electrodes. Noises are amplified as the EMG signal is recovered from the muscle fibre and transmitted through various media. Despite the explosion of available spoken and written means of communication, people still rely heavily on hand gestures when trying to convey ideas and intentions. Therefore, HCI experts agree that recognizing hand gestures is crucial (HCI). As a result, computers can now detect and respond to user-initiated movements. Denoising and amplification are used as signal pre-processing steps. There are a variety of suggested methods for obtaining these properties. Time domain features extraction. Mean, standard deviation, energy, entropy, Skewness, and kurtosis are all employed as measures of statistical dispersion. Better performance was achieved with the recommended methods, as shown by the simulation results.;;979-8-3503-4595-7;10.1109/IHCSP56702.2023.10126505;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10126505;"EMG;HCI;MSE;PSNR";"Human computer interaction;Electrodes;Electric potential;Technological innovation;Biological systems;Muscles;Feature extraction";;;;16;IEEE;25 May 2023;;;IEEE;IEEE Conferences
Capacitive Measurement of Facial Activity Intensity;"V. Rantanen; H. Venesvirta; O. Spakov; J. Verho; A. Vetek; V. Surakka; J. Lekkala";"Sensor Technology and Biomeasurements, Department of Automation Science and Engineering, Tampere University of Technology, Tampere, Finland; Research Group for Emotions, Sociality, and Computing, Tampere Unit for Computer-Human Interaction, School of Information Sciences, University of Tampere, Tampere, Finland; Research Group for Emotions, Sociality, and Computing, Tampere Unit for Computer-Human Interaction, School of Information Sciences, University of Tampere, Tampere, Finland; Sensor Technology and Biomeasurements, Department of Automation Science and Engineering, Tampere University of Technology, Tampere, Finland; Research Group for Emotions, Sociality, and Computing, Tampere Unit for Computer-Human Interaction, School of Information Sciences, University of Tampere, Tampere, Finland; Media Technologies Laboratory, Nokia Research Center, Espoo, Finland; Sensor Technology and Biomeasurements, Department of Automation Science and Engineering, Tampere University of Technology, Tampere, Finland";IEEE Sensors Journal;26. Sep 13;2013;13;11;4329;4338;The intensity measurement of facial muscle activity can be used in several applications such as human-computer interaction and behavioral science. A new method for the intensity measurement is presented. It is based on a contactless, capacitive measurement of the movements that the facial activity produces. The muscles responsible for raising the eyebrows, lowering the eyebrows, raising the mouth corners, and pulling down the mouth corners are measured simultaneously with the capacitive method and electromyography (EMG) during controlled experiments. Each muscle is activated by 10 participants at three different intensity levels (low, medium, and high), 10 repetitions at each level. The capacitive intensity values are in good agreement with the ones registered with the EMG: average mean absolute errors are between 7% and 12% of the observed intensity range. However, compared with the EMG, the capacitive intensity values are noticed to have offsets that may be partly caused by the measurement itself and partly by the EMG reference. As a result, the measurement may require a calibration for more intensity values than just the maximum. In the capacitive method, it is also required to distinguish between the muscle activations originating from the same facial regions to determine which activation is taking place. This is done with an almost perfect performance by using hierarchical clustering to cluster the intensity values.;1558-1748;;10.1109/JSEN.2013.2269864;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6542641;"Capacitive measurement;distance measurement;electromyography (EMG);facial activity measurement;muscle activation intensity measurement";;;18;;30;IEEE;18. Jun 13;;;IEEE;IEEE Journals
Research on Microelectronic System of Antagonism Inhibiting Spasticity Based on Electro-Myo-Graphic Bridge;"P. -Y. Lou; Y. -H. Feng; Y. -L. Wang; X. -Y. Lü; Z. -G. Wang";"College of Computer and Information, Hohai University, Nanjing, China; State Key Lab of Bioelectronics, Southeast University, Nanjing, China; State Key Lab of Bioelectronics, Southeast University, Nanjing, China; State Key Lab of Bioelectronics, Southeast University, Nanjing, China; Institute of RF-& OE-ICs Southeast University, Nanjing, China";2022 7th International Conference on Integrated Circuits and Microsystems (ICICM);16. Jan 23;2022;;;510;515;In this paper, based on the principle of stimulating antagonistic muscles, functional electrical stimulation (FES) is used to achieve the purpose of spasticity suppression. The microelectronic system for spasticity suppression was designed and studied, and then used to simulated spasticity of healthy people. First, based on the characteristics of spastic EMG signals, obtained by the EMG signal detection system of the research group, a detection module was designed to detect EMG signals of voluntary movement, simulated EMG signals of spastic patients. Furthermore, an adaptive pattern recognition algorithm for spasticity was designed to identify spasticity signals from the detected EMG signals. Then, on basis of the functional electrical stimulation core circuit of the research group, a microelectronic FES system based on the myoelectric bridge was designed. Finally, the functional verification experiment of the FES system to stimulate antagonist muscle to inhibit spasm was carried out, The results show that the system is effective for stimulating the wrist extensor muscle as an antagonist muscle to inhibit spasm.;;978-1-6654-6043-9;10.1109/ICICM56102.2022.10011297;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011297;"electro-Myo-graphic bridge;FES;spastic paralysis;antagonistic muscle stimulation;spastic inhibition system";"Wrist;Micromechanical devices;Bridge circuits;Muscles;Electromyography;Iron;Microelectronics";;;;12;IEEE;16. Jan 23;;;IEEE;IEEE Conferences
Multi-feature fusion method for hand motion recognition based on multiple kernel learning;"S. Ding; C. Zhang; X. Sun";"School of Mechanical & Vehicle Engineering, Linyi University, Linyi; School of Mechanical & Vehicle Engineering, Linyi University, Linyi; School of Mechanical & Vehicle Engineering, Linyi University, Linyi";2019 Chinese Control Conference (CCC);17 Oct 2019;2019;;;3394;3398;In order to improve the performance of hand multi-movement pattern recognition in myoelectric control system, a multi-feature fusion method is proposed. The effect of identification method based on single surface electromyography (sEMG) feature is limited. To obtain more comprehensive information about multi-movement pattern, we investigate a multi-feature fusion method based on multiple kernel learning framework. General multi-kernel learning (Generalized-MKL) algorithm is adopted to integrate different kinds of features, which takes full advantage of valuable features for movement classification. Each kind of sEMG feature is endowed with a base kernel respectively. The proposed method adaptively combines multiple features together with optimal combination weights and finds a mixed kernel to classify. In the experiment, we classify multiple different hand movements for fifteen participants, such as wrist, gross hand and finger movements. The experimental results indicate that the feature set formed by the proposed fusion method has the lowest classification error value across all the multi-feature sets. The classification error value of the proposed feature set is 2.86%-4.24% lower than the other commonly used feature combinations. It proves the effectiveness of the proposed multi-feature fusion method. The proposed method is quite promising for hand multi-movement classification with low classification error value.;1934-1768;978-9-8815-6397-2;10.23919/ChiCC.2019.8866245;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8866245;"surface electromyography (sEMG);multi-movement pattern recognition;multi-feature fusion;generalized multiple kernel learning";"Kernel;Feature extraction;Pattern recognition;Reactive power;Support vector machines;Wrist;Pattern classification";;1;;15;;17 Oct 2019;;;IEEE;IEEE Conferences
Extraction of Electromyographic Signals for Multiple-Hand-Motion Recognition via Sparse Representation Technique;"S. Ding; W. Gao; X. Sun; C. Zhang; C. Zhang; M. Guo";"School of Mechanical & Vehicle Engineering, Linyi university, Linyi, China; China academy of aerospace aerodynamics, Beijing, China; School of Mechanical & Vehicle Engineering, Linyi university, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi university, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi university, Linyi, China; School of Mechanical & Vehicle Engineering, Linyi university, Linyi, China";2018 Chinese Automation Congress (CAC);24. Jan 19;2018;;;3661;3665;In order to improve recognition accuracies of hand multi-movement patterns, we investigate a feature extraction method based on sparse representation technique. As a new tool, sparse Bayesian learning (SBL) algorithm is adopted to reveal the hidden nonstationary characteristics of surface electromyography (sEMG) during multiple different wrist, hand and finger movements. In the experiment on classifying these movements for fifteen participants, the feature we proposed has the optimal class separability. It can effectively distinguish multiple different hand movements. The average correct recognition rate of ten movements is up to 89.40%. Meanwhile, Davies-Bouldlin index (DBI) is applied to evaluate the performance of proposed method for identifying hand multi-movement patterns. The experiment results suggest that the SBL based method is an effective tool to capture the hidden characteristics of sEMG signals during ten different movements. Using the proposed method, the performance of myoelectric pattern recognition is enhanced.;;978-1-7281-1312-8;10.1109/CAC.2018.8623061;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8623061;"surface electromyography (sEMG);multiple-hand-motion recognition;time-varying sparsity;sparse Bayesian learning (SBL)";"Feature extraction;Wrist;Sparse matrices;Pattern recognition;Electromyography;Correlation;Tools";;;;16;IEEE;24. Jan 19;;;IEEE;IEEE Conferences
